text,difficulty,importance
prepare for homework hard cannot miss,0.636,0.938
fix code review straightforward,0.157,0.18
review code review one click very important,0.021,0.862
do gym session sometime this week,0.35,0.178
have medication easy but critical,0.057,0.936
easy expense report,0.176,0.106
have standup not important,0.363,0.225
lead meeting quick low value,0.119,0.287
push deployment considerable effort,0.481,0.542
go through homework moderate doesn't matter,0.454,0.22
finish vacuuming extreme critical,0.906,0.899
go to presentation hard critical,0.659,0.876
finish laundry worth the time,0.412,0.647
fix unit testing non trivial,0.594,0.473
refactor performance review decent work reasonable priority,0.507,0.403
fix report worthwhile effort,0.326,0.582
do dusting fairly important,0.321,0.534
review study session needs attention,0.333,0.726
finish homework easy must do,0.169,0.892
debug documentation hard nobody cares,0.711,0.064
write code review hard quite important,0.594,0.755
complete email decent effort important,0.311,0.699
go for gym session fair amount of work,0.439,0.483
do walk not urgent,0.344,0.21
take care of vacuuming not hard but important,0.193,0.648
work on deployment hard critical,0.557,0.945
do dentist decent effort important,0.403,0.749
attend networking event moderate nothing special,0.338,0.273
join presentation tough no benefit,0.65,0.062
do cooking demanding critical,0.642,0.896
finish vacuuming not a priority,0.267,0.262
finish homework complex nobody asked for,0.552,0.124
prepare for retrospective extreme critical,0.949,0.947
push documentation takes forever but skip it,0.793,0.092
review code review easy moderate important,0.181,0.579
go for workout worthwhile effort,0.421,0.693
finish documentation hard demanding,0.764,0.589
submit timesheet massive effort basically useless,0.88,0.084
go for workout tough challenging,0.712,0.617
get dishes this week,0.344,0.466
take care of groceries hard waste of time,0.662,0.084
do homework extremely complex critical,0.837,0.934
do reading extreme critical,0.877,0.899
go for workout hard very important,0.609,0.867
go to checkup one click very important,0.081,0.976
attend sprint planning hard quite important,0.564,0.627
do laundry hard doesn't matter,0.579,0.107
prepare for exam prep easy moderate important,0.082,0.586
file taxes moderate doesn't matter,0.495,0.185
finish study session easy must do,0.155,0.849
have sprint planning difficult pointless,0.662,0.051
go to team standup hard cannot miss,0.639,0.866
finish assignment one click very important,0.063,0.926
complete email not important,0.361,0.116
go to call with client important moderate effort,0.41,0.781
complete timesheet moderately important,0.344,0.65
run networking event extremely hard life or death,0.821,0.965
refactor deployment hard doesn't matter,0.717,0.1
study for reading grueling most important,0.9,0.915
complete deployment tough no benefit,0.714,0.127
take care of dusting not important,0.29,0.167
prepare for assignment tough no benefit,0.579,0.076
fill out timesheet hard very important,0.69,0.801
do gym session background task,0.431,0.301
handle groceries takes forever but skip it,0.802,0.147
fill out expense report not important but hard,0.746,0.202
get laundry sometime this week,0.312,0.282
submit budget not difficult,0.196,0.393
prepare for exam prep worthwhile effort,0.446,0.602
prepare for reading easy but critical,0.112,0.852
finish vacuuming simple worth doing,0.158,0.532
fill out budget quite demanding,0.627,0.56
attend call with client hard critical,0.677,0.916
debug documentation easy no effort,0.003,0.062
take care of dishes on Monday,0.213,0.214
join meeting tough challenging,0.66,0.529
prepare for meeting quite demanding,0.643,0.543
go to doctor appointment difficult pointless,0.771,0.138
get cooking draining but irrelevant,0.735,0.123
run team standup technically hard completely optional,0.688,0.19
go through reading hard hard,0.577,0.686
prepare for standup easy nothing to stress,0.1,0.06
finish vacuuming quite demanding,0.584,0.524
do expense report should take some time,0.415,0.434
ship documentation hard cannot miss,0.657,0.922
attend slides quite demanding,0.559,0.42
get vacuuming tough no benefit,0.724,0.072
write documentation quick and easy,0.08,0.051
attend standup not urgent,0.455,0.241
go through reading extremely hard life or death,0.917,0.93
go for meditation complex nobody asked for,0.736,0.128
finish report simple worth doing,0.103,0.472
go to doctor appointment exhausting low stakes,0.728,0.097
go for stretch hardest thing ever very important,0.869,0.942
have dentist takes no time,0.039,0.134
finish deployment not critical should do,0.488,0.397
go for run complex nobody asked for,0.575,0.114
review homework hard nobody cares,0.659,0.108
hard study session session,0.623,0.555
complete documentation quite demanding,0.56,0.517
go to doctor appointment average task average priority,0.573,0.491
finish vacuuming low priority,0.355,0.155
lead interview takes no time top priority,0.116,0.883
finish cooking hard hard,0.66,0.634
have sprint planning not easy not important,0.495,0.492
go to networking event technically hard completely optional,0.753,0.099
attend call with client extremely hard life or death,0.941,0.948
finish code review routine low stakes,0.322,0.238
get checkup brutal intense,0.901,0.893
have networking event simple urgent need,0.122,0.806
prepare for exam prep quick but important,0.142,0.816
join sprint planning grueling most important,0.909,0.936
do doctor appointment takes no time top priority,0.033,0.863
study for study session hard nobody cares,0.707,0.085
lead sprint planning kinda hard kinda matters,0.554,0.457
have medication barely any effort extremely important,0.114,0.86
do laundry simple worth doing,0.192,0.619
join presentation draining but irrelevant,0.658,0.123
go to medication important needs focus,0.437,0.747
fix documentation quick doesn't matter,0.038,0.043
do run requires focus,0.529,0.552
finish cleaning not important but hard,0.756,0.257
do doctor appointment light and simple,0.089,0.088
barely registers as a task,0.01,0.08
review code review brutal intense,0.921,0.879
have presentation hard cannot miss,0.646,0.885
prepare for assignment grueling most important,0.856,0.865
easy doctor appointment,0.107,0.149
prepare for meeting hard cannot miss,0.601,0.925
go for workout trivial but high stakes,0.103,0.929
do cooking takes no time top priority,0.061,0.905
lead retrospective moderately important,0.276,0.625
go through exam prep should prioritize,0.333,0.612
go for run needs reasonable effort,0.362,0.44
review report takes forever but skip it,0.797,0.084
get vacuuming complex nobody asked for,0.581,0.066
have dentist difficult needs doing,0.703,0.704
get checkup quick but important,0.116,0.892
join meeting hard waste of time,0.632,0.063
finish study session should prioritize,0.358,0.574
submit budget hard needs focus,0.63,0.626
fill out invoice exhausting low stakes,0.724,0.153
work on email important needs focus,0.419,0.755
get medication massive effort basically useless,0.781,0.08
finish unit testing difficult pointless,0.608,0.122
review documentation hard demanding,0.661,0.634
run interview hard hard,0.702,0.656
fix email hard nobody cares,0.761,0.128
lead networking event tough urgent must do,0.71,0.878
work on deployment simple critical,0.162,0.885
join call with client brutal intense,0.933,0.931
get checkup not important but hard,0.66,0.288
fill out budget hard zero payoff,0.731,0.056
join networking event not hard but important,0.201,0.785
do dishes hard critical,0.657,0.882
go for walk complex nobody asked for,0.645,0.059
have slides simple worth doing,0.116,0.484
ship documentation draining but irrelevant,0.706,0.068
join meeting low priority,0.302,0.159
work on code review grueling most important,0.971,0.895
have checkup next week,0.307,0.313
have checkup difficult needs doing,0.712,0.631
file timesheet tough no benefit,0.749,0.107
submit invoice extremely complex critical,0.795,0.919
do stretch not important,0.261,0.173
ship deployment technically hard completely optional,0.616,0.127
debug documentation difficult pointless,0.675,0.082
have slides in the morning,0.216,0.273
prepare for team standup grueling most important,0.976,0.93
do walk hard doesn't matter,0.652,0.129
finish laundry draining but irrelevant,0.712,0.114
take care of dusting important needs focus,0.378,0.709
complete unit testing should prioritize,0.463,0.717
lead standup decent priority,0.465,0.593
finish reading middle of the road,0.55,0.463
fill out invoice draining but irrelevant,0.739,0.07
lead call with client tough urgent must do,0.776,0.92
go for walk demanding critical,0.722,0.948
go through homework quite demanding,0.646,0.404
have standup decent work reasonable priority,0.449,0.568
do taxes thirty seconds can't skip,0.046,0.924
go to team standup tough urgent must do,0.798,0.851
debug code review complex nobody asked for,0.592,0.057
file timesheet one click very important,0.061,0.974
lead sprint planning exhausting low stakes,0.663,0.096
take care of dusting difficult needs doing,0.712,0.647
file taxes complex nobody asked for,0.6,0.074
fill out taxes hard critical,0.686,0.892
do stretch not urgent,0.406,0.287
write documentation simple pointless,0.067,0.034
file budget barely any effort extremely important,0.107,0.889
tough study session,0.724,0.524
study for exam prep hard waste of time,0.639,0.088
go through study session hard hard,0.675,0.502
go for meditation moderately important,0.384,0.557
join call with client quite demanding,0.584,0.54
join call with client hard demanding,0.671,0.657
run retrospective draining but irrelevant,0.796,0.129
prepare for meeting extreme critical,0.901,0.865
prepare for reading massive effort basically useless,0.779,0.072
run sprint planning easy very important,0.08,0.927
do dentist hard very important,0.629,0.878
go through exam prep hard needs focus,0.553,0.59
go through reading tough no benefit,0.65,0.088
lead retrospective one click very important,0.079,0.892
get laundry should take some time,0.524,0.381
push documentation easy low importance,0.081,0.35
do dusting takes no time top priority,0.108,0.924
do dishes takes no time top priority,0.105,0.893
work on unit testing grueling most important,0.933,0.923
handle shopping tough urgent must do,0.67,0.906
prepare for sprint planning difficult pointless,0.677,0.054
complete expense report hard needs focus,0.566,0.593
go for stretch not urgent,0.458,0.197
attend standup worth the time,0.411,0.718
do run extremely complex critical,0.803,0.874
prepare for meeting decent amount of work,0.546,0.335
do homework takes forever but skip it,0.78,0.092
attend networking event extreme critical,0.941,0.921
do timesheet complex nobody asked for,0.735,0.055
prepare for networking event simple urgent need,0.128,0.815
get medication quite demanding,0.684,0.508
take care of cooking hard cannot miss,0.675,0.905
go for gym session kinda hard kinda matters,0.512,0.58
refactor deployment hard zero payoff,0.7,0.143
prepare for sprint planning takes no time top priority,0.078,0.916
have slides takes forever but skip it,0.803,0.068
get laundry tiny task major impact,0.102,0.809
work on code review hard waste of time,0.774,0.066
push performance review middle of the road,0.567,0.491
do groceries easy moderate important,0.196,0.582
go for stretch draining but irrelevant,0.659,0.058
get dusting non trivial,0.546,0.452
prepare for meeting fairly important,0.372,0.588
study for homework easy very important,0.098,0.832
fix documentation tough urgent must do,0.68,0.931
fill out budget hard waste of time,0.721,0.051
finish vacuuming considerable effort,0.6,0.455
do workout tough urgent must do,0.684,0.927
get laundry hardest thing ever very important,0.862,0.963
do groceries easy nothing to stress,0.065,0.106
do reading complex very important,0.777,0.894
push performance review tough challenging,0.574,0.522
get dusting hardest thing ever very important,0.932,0.928
debug report kinda hard kinda matters,0.567,0.528
go for meditation quick urgent,0.123,0.936
attend slides considerable effort,0.505,0.413
push code review hard demanding,0.71,0.583
go to doctor appointment thirty seconds can't skip,0.117,0.889
attend slides massive effort basically useless,0.844,0.094
prepare for slides tonight,0.372,0.227
do dishes difficult pointless,0.659,0.179
go through reading non trivial,0.492,0.467
do stretch quick and easy,0.026,0.086
prepare for study session trivial but high stakes,0.089,0.872
finish dusting extreme critical,0.908,0.92
attend retrospective takes forever but skip it,0.656,0.148
complete code review hard demanding,0.786,0.662
complete taxes kinda hard kinda matters,0.522,0.498
run interview hard doesn't matter,0.714,0.169
finish deployment not hard but important,0.157,0.769
complete expense report important needs focus,0.382,0.793
fill out expense report grueling most important,0.938,0.88
do yoga takes no time top priority,0.062,0.842
go to meeting easy must do,0.173,0.86
go for workout hard hard,0.682,0.616
run meeting quick doesn't matter,0.082,0.035
do study session non trivial,0.485,0.464
review study session hard zero payoff,0.615,0.122
work on code review considerable effort,0.568,0.506
prepare for team standup fair amount of work,0.372,0.354
go for walk moderate doesn't matter,0.47,0.249
finish assignment difficult pointless,0.781,0.07
go through exam prep worth the time,0.336,0.576
complete timesheet extreme critical,0.864,0.886
refactor unit testing hard waste of time,0.614,0.148
go for run extreme critical,0.811,0.939
finish laundry hard very important,0.656,0.915
take care of laundry decent work reasonable priority,0.53,0.474
complete unit testing difficult urgent,0.699,0.937
refactor report considerable effort,0.462,0.492
complete expense report medium priority,0.401,0.652
do medication moderate nothing special,0.42,0.264
have doctor appointment hardest thing ever very important,0.853,0.911
do stretch extreme critical,0.825,0.873
run call with client easy but critical,0.148,0.933
do meditation hard quite important,0.586,0.797
go through assignment massive effort basically useless,0.764,0.1
get laundry needs attention,0.397,0.61
get medication background task,0.27,0.322
prepare for assignment next week,0.366,0.347
do walk simple critical,0.132,0.931
do doctor appointment routine low stakes,0.341,0.218
join call with client simple urgent need,0.154,0.823
finish laundry quick can't miss,0.076,0.899
do workout important moderate effort,0.34,0.785
do groceries massive effort basically useless,0.734,0.091
attend call with client tough challenging,0.65,0.611
ship deployment hard quite important,0.71,0.703
complete timesheet takes no time top priority,0.084,0.871
go to team standup hard waste of time,0.693,0.148
submit invoice quick low value,0.195,0.259
do workout tough no benefit,0.719,0.084
do dishes no rush,0.253,0.185
do cleaning background task,0.344,0.216
review study session difficult pointless,0.655,0.082
do vacuuming brutal intense,0.91,0.897
get checkup quick can't miss,0.08,0.929
run meeting demanding critical,0.674,0.884
prepare for exam prep whenever,0.394,0.167
do stretch considerable effort,0.555,0.511
have standup hard hard,0.676,0.529
go to interview worth the time,0.447,0.613
do groceries easy but critical,0.108,0.819
study for assignment this week,0.328,0.398
hard vacuuming session,0.701,0.669
go through homework tonight,0.344,0.38
ship report demanding critical,0.691,0.902
complete code review fairly important,0.327,0.588
go through exam prep simple critical,0.138,0.971
ship code review difficult pointless,0.626,0.051
ship email extreme critical,0.856,0.872
finish dishes takes no time,0.007,0.143
have interview minor task,0.204,0.318
lead slides not a priority,0.202,0.241
have call with client worthwhile effort,0.475,0.687
review exam prep difficult needs doing,0.743,0.53
hard report session,0.669,0.664
fix report quick but important,0.053,0.846
do stretch moderate effort,0.328,0.406
lead slides hardest thing ever very important,0.892,0.925
finish report fairly important,0.423,0.635
do laundry demanding critical,0.769,0.878
get dentist easy simple,0.137,0.194
get checkup complex nobody asked for,0.668,0.108
do groceries hard hard,0.747,0.689
go for run considerable effort,0.595,0.524
get checkup medium difficulty medium stakes,0.401,0.53
get checkup kinda hard kinda matters,0.583,0.461
prepare for exam prep not important but hard,0.718,0.197
file taxes not a priority,0.2,0.264
have sprint planning decent effort important,0.4,0.592
run standup difficult pointless,0.744,0.156
finish study session quick but important,0.095,0.773
go to networking event extremely hard life or death,0.822,0.971
get doctor appointment draining but irrelevant,0.713,0.062
do cleaning hard demanding,0.614,0.56
refactor code review kinda hard kinda matters,0.533,0.493
complete deployment extremely complex critical,0.818,0.893
have dentist technically hard completely optional,0.683,0.109
join team standup moderately important,0.271,0.584
finish performance review low priority,0.307,0.206
prepare for standup not urgent,0.475,0.166
handle shopping hard zero payoff,0.734,0.092
ship unit testing hard nobody cares,0.625,0.156
do yoga extreme critical,0.877,0.936
go to networking event should take some time,0.435,0.44
submit invoice quite demanding,0.611,0.428
take care of shopping should prioritize,0.416,0.646
get vacuuming important needs focus,0.523,0.694
do assignment simple worth doing,0.084,0.643
review documentation fair amount of work,0.476,0.377
prepare for study session difficult needs doing,0.592,0.563
take care of vacuuming kinda hard kinda matters,0.511,0.569
prepare for networking event extreme critical,0.911,0.945
join meeting takes forever but skip it,0.84,0.078
go to slides difficult pointless,0.697,0.117
fix code review this week,0.305,0.478
review reading extremely complex critical,0.778,0.899
do dusting hard needs focus,0.592,0.688
go for stretch difficult pointless,0.725,0.092
have medication extremely complex critical,0.9,0.857
run networking event regular task,0.311,0.46
complete unit testing this week,0.362,0.51
run interview medium effort,0.494,0.324
join networking event draining but irrelevant,0.797,0.05
get dentist average task average priority,0.434,0.574
join networking event hard demanding,0.611,0.648
file expense report before lunch,0.339,0.267
run presentation important needs focus,0.392,0.782
prepare for reading hard zero payoff,0.635,0.148
get dishes extremely complex critical,0.893,0.947
attend standup not a priority,0.237,0.214
lead team standup grueling most important,0.856,0.869
finish deployment considerable effort,0.507,0.371
important performance review,0.471,0.893
run retrospective brutal intense,0.862,0.88
ship deployment exhausting low stakes,0.604,0.117
prepare for assignment hard doesn't matter,0.707,0.092
go for meditation takes forever but skip it,0.705,0.134
finish laundry difficult needs doing,0.694,0.65
refactor code review extremely complex critical,0.891,0.905
easy homework session,0.122,0.116
go for walk needs reasonable effort,0.435,0.463
complete expense report should prioritize,0.422,0.74
urgent sprint planning,0.458,0.841
take care of dishes draining but irrelevant,0.656,0.115
do vacuuming by noon,0.339,0.421
file expense report demanding critical,0.633,0.917
get dentist not hard,0.099,0.322
attend standup quick but important,0.057,0.789
join team standup one click very important,0.02,0.94
have meeting extreme critical,0.856,0.945
go to interview hard hard,0.673,0.511
fix report quite demanding,0.682,0.561
work on deployment takes some effort,0.416,0.484
run slides grueling most important,0.866,0.91
get laundry hard quite important,0.648,0.665
have dentist worthwhile effort,0.322,0.662
finish performance review trivial but high stakes,0.122,0.892
go for gym session hard very important,0.682,0.888
attend standup technically hard completely optional,0.775,0.109
study for study session tough no benefit,0.64,0.079
submit taxes brutal intense,0.816,0.868
finish laundry simple critical,0.137,0.962
fix email quick doesn't matter,0.092,0.039
go for workout brutal intense,0.805,0.822
complete deployment background task,0.385,0.326
file expense report extremely hard life or death,0.837,0.914
join networking event light and simple,0.082,0.107
prepare for presentation brutal intense,0.921,0.863
do vacuuming grueling most important,0.923,0.88
fill out invoice tough no benefit,0.583,0.146
finish cleaning simple critical,0.157,0.895
prepare for retrospective tiny task major impact,0.102,0.906
go for yoga takes forever but skip it,0.658,0.145
refactor report medium effort,0.454,0.375
lead interview tiny task major impact,0.132,0.921
attend call with client light and simple,0.14,0.119
have medication should prioritize,0.401,0.629
study for assignment hard critical,0.62,0.939
do yoga on Monday,0.396,0.372
go for walk someday task,0.447,0.302
do yoga grueling most important,0.897,0.881
join call with client non trivial,0.535,0.397
join call with client not urgent,0.441,0.174
finish cleaning this evening,0.227,0.191
do walk thirty seconds can't skip,0.057,0.954
finish report exhausting low stakes,0.673,0.193
submit invoice hard very important,0.599,0.87
attend slides hard needs focus,0.609,0.635
go for walk massive effort basically useless,0.718,0.074
work on report difficult pointless,0.77,0.085
prepare for team standup complex very important,0.757,0.849
complete timesheet low priority,0.357,0.277
join interview demanding critical,0.697,0.888
go to medication non trivial,0.457,0.342
get doctor appointment hard cannot miss,0.754,0.942
prepare for retrospective hard demanding,0.704,0.692
hard interview session,0.625,0.64
finish dusting barely any effort extremely important,0.116,0.943
have sprint planning non trivial,0.541,0.347
have presentation someday task,0.297,0.244
submit timesheet small but worth doing,0.216,0.24
take care of groceries complex very important,0.722,0.86
take care of groceries brutal intense,0.867,0.923
complete invoice tough no benefit,0.616,0.054
finish cooking not important but hard,0.731,0.183
hard homework session,0.693,0.578
have interview tough no benefit,0.552,0.101
go for walk hard doesn't matter,0.743,0.079
have doctor appointment worthwhile effort,0.492,0.566
file budget technically hard completely optional,0.709,0.122
finish report draining but irrelevant,0.687,0.067
complete report hard hard,0.621,0.502
do shopping kinda hard kinda matters,0.588,0.453
ship email hard cannot miss,0.79,0.867
go through reading technically hard completely optional,0.686,0.199
take care of vacuuming important moderate effort,0.403,0.798
get dishes simple critical,0.13,0.967
fill out budget barely anything,0.071,0.079
lead sprint planning massive effort basically useless,0.751,0.085
take care of vacuuming quick and simple,0.092,0.176
do timesheet hard very important,0.652,0.892
complete report hard waste of time,0.752,0.093
go through study session medium difficulty medium stakes,0.482,0.526
study for exam prep draining but irrelevant,0.703,0.131
do gym session exhausting low stakes,0.602,0.117
do dentist tough urgent must do,0.619,0.864
go for gym session easy no big deal,0.119,0.123
do study session trivial but high stakes,0.057,0.932
run standup difficult urgent,0.55,0.837
review documentation fairly important,0.295,0.513
fill out taxes tough urgent must do,0.687,0.936
file expense report tough no benefit,0.709,0.123
run retrospective hard nobody cares,0.63,0.163
go for workout extremely hard life or death,0.816,0.99
finish email demanding critical,0.72,0.896
go for walk by noon,0.284,0.275
do cleaning brutal intense,0.908,0.871
refactor unit testing complex very important,0.683,0.851
finish deployment fair amount of work,0.486,0.53
finish laundry non trivial,0.492,0.446
review exam prep hard very important,0.584,0.881
refactor report if time allows,0.255,0.265
refactor documentation difficult pointless,0.715,0.086
do run kinda hard kinda matters,0.555,0.452
prepare for study session fair amount of work,0.415,0.373
do run simple worth doing,0.151,0.576
run meeting worth the time,0.396,0.727
review reading tough no benefit,0.556,0.134
finish code review on Monday,0.387,0.24
ship email hard quite important,0.733,0.604
prepare for slides complex very important,0.757,0.912
submit expense report quick can't miss,0.115,0.888
fill out taxes hard waste of time,0.716,0.105
submit expense report not important but hard,0.653,0.261
do medication quite demanding,0.601,0.444
get medication straightforward,0.19,0.15
prepare for homework quick can't miss,0.076,0.87
debug performance review grueling most important,0.902,0.88
have doctor appointment brutal intense,0.834,0.898
study for reading difficult urgent,0.617,0.866
do gym session considerable effort,0.563,0.496
fix code review complex nobody asked for,0.689,0.063
have meeting tough no benefit,0.656,0.07
work on report no rush,0.436,0.162
have presentation hard very important,0.686,0.876
submit budget hard zero payoff,0.796,0.12
finish study session moderately important,0.335,0.646
attend standup small but worth doing,0.263,0.221
lead interview moderately important,0.287,0.521
ship code review draining but irrelevant,0.754,0.083
review study session tough no benefit,0.66,0.051
do yoga difficult urgent,0.678,0.915
file taxes technically hard completely optional,0.701,0.103
submit expense report easy must do,0.156,0.838
review unit testing moderately important,0.417,0.678
do run on Monday,0.278,0.375
finish exam prep easy but critical,0.103,0.871
go to medication demanding critical,0.711,0.851
take care of cooking complex nobody asked for,0.707,0.132
refactor performance review hardest thing ever very important,0.903,0.916
prepare for reading worthwhile effort,0.379,0.69
work on report not important but hard,0.74,0.278
prepare for standup quick urgent,0.083,0.94
go to retrospective non trivial,0.524,0.396
attend standup hard demanding,0.765,0.599
review reading hard needs focus,0.698,0.695
prepare for sprint planning hard nobody cares,0.73,0.166
finish deployment simple critical,0.085,0.965
complete invoice extreme critical,0.805,0.856
do meditation non trivial,0.452,0.42
get dentist hard zero payoff,0.756,0.13
debug deployment extremely hard life or death,0.81,0.994
prepare for retrospective quick can't miss,0.087,0.908
go to meeting hard doesn't matter,0.622,0.062
do dentist grueling most important,0.933,0.918
submit invoice easy no effort,0.032,0.117
push unit testing should take some time,0.442,0.407
go to team standup in the morning,0.323,0.307
debug email decent amount of work,0.447,0.342
do dusting easy must do,0.141,0.804
prepare for homework requires focus,0.511,0.545
do dusting complex nobody asked for,0.633,0.11
lead team standup next week,0.393,0.28
have retrospective worthwhile effort,0.432,0.554
do study session kinda hard kinda matters,0.487,0.49
review homework needs attention,0.487,0.554
attend interview takes no time top priority,0.064,0.827
write performance review technically hard completely optional,0.682,0.138
refactor unit testing non trivial,0.594,0.376
do doctor appointment difficult urgent,0.71,0.923
submit budget quick nothing important,0.026,0.15
do shopping medium priority,0.358,0.685
finish dusting kinda hard kinda matters,0.6,0.517
do vacuuming complex nobody asked for,0.635,0.101
have medication complex very important,0.708,0.826
run interview easy must do,0.144,0.868
do timesheet tiny task major impact,0.134,0.801
run presentation brutal intense,0.886,0.829
ship unit testing brutal intense,0.831,0.886
go for gym session low priority,0.304,0.278
have checkup important moderate effort,0.453,0.79
have dentist easy moderate important,0.098,0.523
join slides can wait,0.29,0.332
have checkup takes no time top priority,0.115,0.831
easy cooking session,0.147,0.156
go to checkup tough no benefit,0.576,0.135
attend sprint planning tough urgent must do,0.74,0.85
prepare for meeting barely anything,0.041,0.113
go to call with client extreme critical,0.874,0.865
fill out expense report medium effort,0.374,0.353
review deployment draining but irrelevant,0.702,0.117
lead retrospective hard hard,0.556,0.584
finish study session exhausting low stakes,0.737,0.099
lead sprint planning tough challenging,0.718,0.632
attend team standup tough urgent must do,0.612,0.935
ship code review whenever,0.252,0.23
go through study session takes forever but skip it,0.755,0.08
go for walk tough urgent must do,0.601,0.894
study for exam prep difficult pointless,0.694,0.055
review assignment tough urgent must do,0.662,0.887
go for stretch hard demanding,0.684,0.725
join interview hard cannot miss,0.717,0.946
finish cooking not important,0.272,0.131
do gym session standard routine,0.48,0.301
prepare for homework not hard but important,0.24,0.679
push report hard needs focus,0.601,0.651
prepare for retrospective easy should do,0.081,0.498
get doctor appointment hard nobody cares,0.722,0.059
push documentation moderate doesn't matter,0.495,0.164
prepare for study session tough urgent must do,0.609,0.925
do walk demanding critical,0.626,0.881
do homework hard waste of time,0.604,0.092
submit taxes hard cannot miss,0.791,0.886
finish homework draining but irrelevant,0.797,0.072
work on unit testing simple worth doing,0.16,0.488
ship deployment moderately important,0.323,0.529
go to call with client not a priority,0.331,0.209
finish dishes difficult urgent,0.69,0.886
do workout tough challenging,0.737,0.58
lead presentation grueling most important,0.94,0.911
study for assignment difficult needs doing,0.563,0.553
go for walk simple pointless,0.028,0.026
take care of dusting hard very important,0.55,0.944
complete timesheet complex nobody asked for,0.725,0.063
do reading not important but hard,0.796,0.269
do yoga moderate doesn't matter,0.324,0.24
have standup not critical should do,0.383,0.347
hard retrospective session,0.666,0.529
do study session no rush,0.458,0.162
fill out invoice difficult urgent,0.703,0.827
complete code review hard very important,0.746,0.843
work on code review hard zero payoff,0.618,0.112
complete code review extreme critical,0.938,0.916
do meditation regular task,0.431,0.438
get dishes hard cannot miss,0.772,0.92
refactor deployment trivial but high stakes,0.061,0.938
do budget quick but matters,0.158,0.606
go to interview hard demanding,0.708,0.57
push performance review kinda hard kinda matters,0.529,0.54
complete performance review fairly important,0.407,0.53
handle groceries hard quite important,0.624,0.756
review assignment before lunch,0.326,0.365
do laundry complex very important,0.7,0.862
have standup easy but critical,0.052,0.833
debug documentation regular task,0.474,0.421
do stretch quick but important,0.054,0.803
complete performance review quick can't miss,0.128,0.876
do shopping easy very important,0.106,0.906
work on unit testing hard needs focus,0.58,0.717
review report on Monday,0.29,0.309
debug email technically hard completely optional,0.743,0.13
finish unit testing someday task,0.393,0.216
review code review not important but hard,0.705,0.254
complete taxes not hard,0.125,0.341
lead networking event routine low stakes,0.23,0.365
finish laundry demanding critical,0.739,0.94
do groceries complex nobody asked for,0.737,0.118
take care of cooking standard routine,0.349,0.339
optional call with client,0.329,0.24
have doctor appointment thirty seconds can't skip,0.049,0.925
have meeting considerable effort,0.55,0.377
go to networking event takes forever but skip it,0.727,0.072
take care of laundry someday task,0.345,0.337
prepare for retrospective average task average priority,0.443,0.508
go for yoga difficult pointless,0.714,0.081
push code review not important but hard,0.69,0.2
file timesheet this week,0.444,0.379
finish email draining but irrelevant,0.711,0.052
join retrospective extreme critical,0.903,0.865
run networking event not important but hard,0.673,0.231
finish report needs attention,0.341,0.58
critical code review,0.485,0.962
finish deployment hardest thing ever very important,0.888,0.912
work on unit testing hard hard,0.744,0.503
go through assignment draining but irrelevant,0.754,0.13
finish exam prep complex very important,0.739,0.813
run call with client quick and easy,0.078,0.107
review deployment complex very important,0.752,0.858
prepare for meeting moderately important,0.302,0.648
prepare for slides takes forever but skip it,0.834,0.064
review homework decent work reasonable priority,0.479,0.432
finish laundry in the morning,0.301,0.253
run team standup not hard,0.211,0.388
push performance review hard quite important,0.711,0.791
join interview quite demanding,0.548,0.473
refactor report simple critical,0.094,0.859
get dusting medium priority,0.463,0.69
finish study session next week,0.372,0.184
lead networking event hard demanding,0.77,0.67
finish reading decent amount of work,0.456,0.495
ship report considerable effort,0.533,0.417
study for exam prep hard zero payoff,0.611,0.083
attend standup complex nobody asked for,0.72,0.126
complete code review moderate nothing special,0.344,0.297
handle shopping extremely complex critical,0.893,0.888
urgent unit testing,0.411,0.888
finish cooking this week,0.408,0.355
do yoga this week,0.465,0.418
join interview easy very important,0.088,0.821
debug email this week,0.326,0.384
debug deployment hard critical,0.731,0.933
complete documentation requires focus,0.503,0.687
do dentist extremely complex critical,0.883,0.853
do laundry hard waste of time,0.71,0.055
prepare for retrospective massive effort basically useless,0.851,0.127
get dishes considerable effort,0.483,0.523
critical performance review,0.377,0.979
do walk background task,0.378,0.304
write email hard needs focus,0.664,0.56
have retrospective sometime this week,0.356,0.18
go for yoga quite demanding,0.689,0.566
do run tomorrow,0.281,0.276
go for walk moderate effort,0.491,0.413
refactor unit testing hard doesn't matter,0.598,0.12
go to checkup hardest thing ever very important,0.918,0.944
take care of cooking considerable effort,0.568,0.466
go to interview grueling most important,0.878,0.937
review homework non trivial,0.542,0.489
do dishes tough challenging,0.715,0.565
debug report should prioritize,0.323,0.608
go for walk in the morning,0.3,0.223
debug report draining but irrelevant,0.783,0.057
go for yoga quick and easy,0.02,0.072
attend interview complex very important,0.609,0.932
do laundry barely anything,0.079,0.134
have dentist at 6am,0.315,0.223
do gym session tiny task major impact,0.072,0.838
go for walk hard zero payoff,0.759,0.091
write deployment quick but important,0.116,0.756
do meditation easy should do,0.088,0.609
do exam prep routine low stakes,0.325,0.231
have meeting quick and simple,0.079,0.108
attend sprint planning not important but hard,0.741,0.199
fill out invoice tough challenging,0.716,0.521
get checkup simple worth doing,0.081,0.638
go through reading hard cannot miss,0.773,0.927
